replication_experiment_with_bonus;response_correct;wason_condition;rt;wason_name;pc_choice_includes_antecedent_true;pc_choice_includes_antecedent_false;pc_choice_includes_consequent_true;pc_choice_includes_consequent_false;rt_split;subject;subject_no_rt;response_correct_no_prior;logprob_diff
TRUE;FALSE;Arbitrary;56615131;abstract_book_particle;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;36296194;abstract_browser_pants;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;35831784;abstract_browser_pants;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;55165076;abstract_browser_pants;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;31786008;abstract_browser_pants;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;45331738;abstract_browser_pants;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;35064249;abstract_browser_pants;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;33763275;abstract_browser_pants;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;42068218;abstract_browser_pants;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;40198307;abstract_browser_pants;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;37394386;abstract_browser_pants;FALSE;FALSE;TRUE;TRUE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;70597974;abstract_browser_pants;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;36232589;abstract_browser_pants;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;29598059;abstract_browser_pants;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;40497677;abstract_browser_pants;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;2278554;abstract_browser_pants;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;5742837;abstract_browser_pants;FALSE;TRUE;FALSE;TRUE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;49863575;abstract_browser_pants;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;72169893;abstract_browser_pants;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;48895539;abstract_browser_pants;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;14164733;abstract_browser_pants;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;47920472;abstract_caffeinated_conductive;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;19086916;abstract_caffeinated_conductive;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;30498811;abstract_caffeinated_conductive;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;31999124;abstract_caffeinated_conductive;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;23689525;abstract_caffeinated_conductive;FALSE;TRUE;FALSE;TRUE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;2379758;abstract_caffeinated_conductive;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;49363897;abstract_caffeinated_conductive;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;42097719;abstract_caffeinated_conductive;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;31864349;abstract_caffeinated_conductive;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;16131008;abstract_caffeinated_conductive;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;24698547;abstract_caffeinated_conductive;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;57765346;abstract_caffeinated_conductive;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;44665414;abstract_caffeinated_conductive;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;78364143;abstract_caffeinated_conductive;FALSE;TRUE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;60832344;abstract_caffeinated_conductive;FALSE;TRUE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;TRUE;Arbitrary;39199045;abstract_caffeinated_conductive;TRUE;FALSE;FALSE;TRUE;fast;Human (fast);Human;TRUE;NA
TRUE;FALSE;Arbitrary;4139899;abstract_caffeinated_conductive;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;68199312;abstract_caffeinated_conductive;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;58865964;abstract_caffeinated_conductive;FALSE;TRUE;FALSE;TRUE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;28365236;abstract_caffeinated_conductive;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;4882979;abstract_caffeinated_conductive;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;39165796;abstract_caffeinated_conductive;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;76365699;abstract_caffeinated_conductive;FALSE;TRUE;FALSE;TRUE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;36299277;abstract_electronic_hairy;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;42798724;abstract_electronic_hairy;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;72932128;abstract_electronic_hairy;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;31698719;abstract_electronic_hairy;FALSE;TRUE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;3163167;abstract_electronic_hairy;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;39962307;abstract_electronic_hairy;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;39231925;abstract_electronic_hairy;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;4949789;abstract_electronic_hairy;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;27229646;abstract_electronic_hairy;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;19763731;abstract_electronic_hairy;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;58931782;abstract_electronic_hairy;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;60298805;abstract_electronic_hairy;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;23065474;abstract_electronic_hairy;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;30865226;abstract_electronic_hairy;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;38798596;abstract_electronic_hairy;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;29665706;abstract_electronic_hairy;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;33163177;abstract_electronic_hairy;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;46830381;abstract_electronic_hairy;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;44165735;abstract_electronic_hairy;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;56965588;abstract_electronic_hairy;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;TRUE;Arbitrary;53998655;abstract_electronic_hairy;TRUE;FALSE;FALSE;TRUE;fast;Human (fast);Human;TRUE;NA
FALSE;FALSE;Arbitrary;46331435;abstract_european_hot;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;5349522;abstract_european_hot;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;31997415;abstract_european_hot;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;30164797;abstract_european_hot;FALSE;FALSE;TRUE;TRUE;fast;Human (fast);Human;FALSE;NA
FALSE;TRUE;Arbitrary;60531773;abstract_european_hot;TRUE;FALSE;FALSE;TRUE;fast;Human (fast);Human;TRUE;NA
FALSE;FALSE;Arbitrary;51696413;abstract_european_hot;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;2343266;abstract_european_hot;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;33857;abstract_european_hot;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;29526085;abstract_european_hot;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;49863822;abstract_european_hot;FALSE;TRUE;FALSE;TRUE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;61298412;abstract_european_hot;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;75655935;abstract_european_hot;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;52097699;abstract_european_hot;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;27264462;abstract_european_hot;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;29198138;abstract_european_hot;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;36464656;abstract_european_hot;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;41931603;abstract_european_hot;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;21599075;abstract_european_hot;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;50398028;abstract_european_hot;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;49197538;abstract_european_hot;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;42798499;abstract_european_hot;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;7633136;abstract_european_hot;FALSE;TRUE;FALSE;TRUE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;36726768;abstract_european_hot;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;54799371;abstract_european_hot;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;TRUE;Arbitrary;48731508;abstract_european_hot;TRUE;FALSE;FALSE;TRUE;fast;Human (fast);Human;TRUE;NA
TRUE;FALSE;Arbitrary;49518683;abstract_european_hot;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;38139843;abstract_european_hot;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;35406732;abstract_european_hot;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;27831599;abstract_french_even;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;29032028;abstract_french_even;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;56098796;abstract_french_even;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;TRUE;Arbitrary;45997892;abstract_french_even;TRUE;FALSE;FALSE;TRUE;fast;Human (fast);Human;TRUE;NA
TRUE;FALSE;Arbitrary;60562708;abstract_french_even;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;29828623;abstract_french_even;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;42832691;abstract_french_even;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;61366033;abstract_french_even;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;43931347;abstract_plant_philosopher;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;41263869;abstract_plant_philosopher;FALSE;FALSE;TRUE;TRUE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;32898834;abstract_plant_philosopher;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;30997741;abstract_plant_philosopher;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;66931193;abstract_plant_philosopher;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;39698948;abstract_plant_philosopher;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;32965051;abstract_plant_philosopher;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;38498913;abstract_plant_philosopher;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;37672231;abstract_plural_valence;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;29518502;abstract_plural_valence;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;50328648;abstract_plural_valence;FALSE;FALSE;TRUE;TRUE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;37831628;abstract_plural_valence;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;68166003;abstract_plural_valence;FALSE;TRUE;FALSE;TRUE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;41898764;abstract_plural_valence;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;37331463;abstract_plural_valence;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;37298636;abstract_plural_valence;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;36999215;abstract_plural_valence;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;78364919;abstract_plural_valence;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;TRUE;Arbitrary;27631727;abstract_plural_valence;TRUE;FALSE;FALSE;TRUE;fast;Human (fast);Human;TRUE;NA
FALSE;FALSE;Arbitrary;41532081;abstract_plural_valence;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;34364042;abstract_plural_valence;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;21665633;abstract_plural_valence;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;15565672;abstract_plural_valence;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;34200684;abstract_plural_valence;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;36763299;abstract_plural_valence;FALSE;TRUE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;TRUE;Arbitrary;25064953;abstract_plural_valence;TRUE;FALSE;FALSE;TRUE;fast;Human (fast);Human;TRUE;NA
TRUE;FALSE;Arbitrary;52499593;abstract_plural_valence;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;31932146;abstract_plural_valence;FALSE;TRUE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;56799319;abstract_plural_valence;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;TRUE;Arbitrary;66165353;abstract_plural_valence;TRUE;FALSE;FALSE;TRUE;fast;Human (fast);Human;TRUE;NA
TRUE;FALSE;Arbitrary;40498663;abstract_plural_valence;FALSE;TRUE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;TRUE;Arbitrary;35132735;abstract_plural_valence;TRUE;FALSE;FALSE;TRUE;fast;Human (fast);Human;TRUE;NA
TRUE;FALSE;Arbitrary;7811838;abstract_plural_valence;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;66395683;abstract_plural_valence;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;70892493;abstract_plural_valence;FALSE;TRUE;FALSE;TRUE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;73763603;abstract_prime_color;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;34098231;abstract_prime_color;FALSE;TRUE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;TRUE;Arbitrary;54616912;abstract_prime_color;TRUE;FALSE;FALSE;TRUE;fast;Human (fast);Human;TRUE;NA
FALSE;FALSE;Arbitrary;49917904;abstract_prime_color;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;46565693;abstract_prime_color;FALSE;TRUE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;29596607;abstract_prime_color;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;36366113;abstract_prime_color;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;34465772;abstract_prime_color;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;48998619;abstract_prime_color;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;44489792;abstract_prime_color;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;64728729;abstract_prime_color;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;43632361;abstract_prime_color;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;72063792;abstract_prime_color;FALSE;TRUE;FALSE;TRUE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;37731659;abstract_prime_color;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;58398201;abstract_prime_color;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;59464698;abstract_prime_color;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;31230763;abstract_prime_color;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;36398417;abstract_prime_color;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;60053843;abstract_prime_color;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;18665327;abstract_prime_color;FALSE;TRUE;FALSE;TRUE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;59775362;abstract_prime_color;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
TRUE;FALSE;Arbitrary;70798157;abstract_prime_color;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;29384804;abstract_textfile_time;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;69365397;abstract_textfile_time;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;34100312;abstract_textfile_time;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;63898095;abstract_textfile_time;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;34232455;abstract_textfile_time;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;28331803;abstract_textfile_time;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;56665469;abstract_textfile_time;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;43697874;abstract_textfile_time;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;3539683;abstract_textfile_time;FALSE;TRUE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;41297193;abstract_textfile_time;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;17831484;abstract_textfile_time;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;3733056;abstract_textfile_time;FALSE;FALSE;TRUE;TRUE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;66531476;abstract_textfile_time;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;43083183;abstract_textfile_time;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;31463078;abstract_textfile_time;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;FALSE;Arbitrary;51664857;abstract_textfile_time;TRUE;TRUE;FALSE;FALSE;fast;Human (fast);Human;FALSE;NA
FALSE;TRUE;Arbitrary;59996414;abstract_textfile_time;TRUE;FALSE;FALSE;TRUE;fast;Human (fast);Human;TRUE;NA
FALSE;FALSE;Arbitrary;74098222;abstract_textfile_time;TRUE;FALSE;TRUE;FALSE;fast;Human (fast);Human;FALSE;NA
